,Gender,ParentEduc,LunchType,TestPrep,ParentMaritalStatus,PracticeSport,IsFirstChild,NrSiblings,TransportMeans,WklyStudyHours,MathScore,ReadingScore,WritingScore,Average Score,WklyStudyHoursValue
3944,male,some high school,standard,completed,married,regularly,no,1.0,school_bus,> 10,59,57,61,59.0,3.0
3945,male,master's degree,free/reduced,completed,divorced,regularly,yes,5.0,school_bus,5 - 10,79,66,71,72.0,2.0
3946,female,some college,standard,completed,married,regularly,yes,1.0,school_bus,5 - 10,70,64,69,68.0,2.0
3947,female,bachelor's degree,standard,completed,married,never,yes,1.0,private,> 10,96,95,99,97.0,3.0
3948,female,associate's degree,standard,none,single,never,yes,2.0,school_bus,> 10,53,61,57,57.0,3.0
3949,male,master's degree,standard,completed,married,sometimes,yes,2.0,school_bus,5 - 10,94,91,97,94.0,2.0
3950,female,some high school,standard,none,single,regularly,no,1.0,school_bus,5 - 10,63,69,62,65.0,2.0
3951,female,associate's degree,standard,none,single,sometimes,yes,4.0,school_bus,> 10,76,94,83,84.0,3.0
3952,female,some high school,standard,completed,married,regularly,yes,2.0,school_bus,> 10,37,61,63,54.0,3.0
3953,female,bachelor's degree,standard,completed,single,sometimes,yes,1.0,school_bus,5 - 10,67,91,95,84.0,2.0
3954,female,master's degree,free/reduced,completed,married,regularly,yes,1.0,school_bus,< 5,75,92,90,86.0,1.0
3955,male,associate's degree,standard,none,single,regularly,yes,0.0,school_bus,5 - 10,97,92,87,92.0,2.0
3956,male,some college,free/reduced,none,widowed,sometimes,yes,2.0,private,5 - 10,66,59,61,62.0,2.0
3957,female,high school,standard,none,divorced,sometimes,no,6.0,school_bus,5 - 10,55,76,69,67.0,2.0
3958,male,high school,standard,none,married,sometimes,yes,1.0,school_bus,5 - 10,77,64,58,66.0,2.0
3959,female,associate's degree,standard,none,married,sometimes,no,2.0,school_bus,5 - 10,46,66,70,61.0,2.0
3960,male,some high school,standard,none,married,sometimes,yes,3.0,private,< 5,94,80,72,82.0,1.0
3961,male,some college,free/reduced,none,divorced,regularly,no,2.0,school_bus,> 10,86,80,76,81.0,3.0
3962,male,some high school,standard,none,married,sometimes,yes,2.0,school_bus,< 5,46,39,38,41.0,1.0
3963,female,some high school,free/reduced,none,divorced,regularly,yes,2.0,school_bus,> 10,59,74,75,69.0,3.0
3964,male,high school,standard,none,divorced,sometimes,yes,5.0,private,> 10,61,57,56,58.0,3.0
3965,male,bachelor's degree,free/reduced,none,married,regularly,yes,4.0,school_bus,< 5,35,32,33,33.0,1.0
3966,female,some college,standard,none,divorced,never,yes,1.0,school_bus,< 5,63,67,65,65.0,1.0
3967,male,some college,standard,none,married,regularly,yes,3.0,school_bus,5 - 10,86,68,73,76.0,2.0
3968,male,master's degree,free/reduced,none,divorced,regularly,yes,0.0,private,5 - 10,58,62,60,60.0,2.0
3969,female,some college,free/reduced,none,married,sometimes,yes,3.0,private,> 10,61,71,79,70.0,3.0
3970,female,associate's degree,standard,none,married,regularly,yes,0.0,school_bus,5 - 10,91,94,94,93.0,2.0
3971,female,bachelor's degree,free/reduced,completed,divorced,never,yes,0.0,private,5 - 10,85,98,97,93.0,2.0
3972,female,high school,free/reduced,completed,married,regularly,yes,1.0,school_bus,> 10,41,54,57,51.0,3.0
3973,female,some college,standard,none,married,never,no,3.0,private,> 10,56,70,69,65.0,3.0
3974,female,associate's degree,standard,completed,married,sometimes,yes,3.0,school_bus,5 - 10,56,75,79,70.0,2.0
3975,male,some college,free/reduced,none,married,regularly,yes,0.0,school_bus,5 - 10,35,34,35,35.0,2.0
3976,male,high school,standard,completed,divorced,sometimes,yes,4.0,school_bus,5 - 10,64,58,59,60.0,1.8977295694940375
3977,female,some college,free/reduced,none,single,sometimes,yes,1.0,school_bus,5 - 10,36,45,48,43.0,2.0
3978,male,high school,free/reduced,none,divorced,sometimes,yes,1.0,private,5 - 10,46,41,46,44.0,2.0
3979,female,master's degree,free/reduced,none,married,sometimes,yes,1.0,school_bus,5 - 10,49,57,58,55.0,2.0
3980,male,associate's degree,standard,completed,married,regularly,yes,3.0,private,< 5,58,55,57,57.0,1.0
3981,female,some college,standard,none,single,sometimes,no,6.0,school_bus,5 - 10,72,73,83,76.0,2.0
3982,female,some high school,standard,none,married,regularly,yes,3.0,school_bus,5 - 10,63,74,70,69.0,2.0
3983,male,some high school,standard,none,single,regularly,yes,5.0,school_bus,< 5,80,73,66,73.0,1.0
3984,male,some college,standard,none,married,never,no,3.0,private,5 - 10,64,71,62,66.0,2.0
3985,female,some college,standard,completed,married,regularly,yes,2.0,school_bus,5 - 10,47,55,58,53.0,2.0
3986,male,high school,standard,none,married,never,yes,4.0,school_bus,< 5,64,63,58,62.0,1.0
3987,male,associate's degree,standard,completed,divorced,sometimes,yes,1.0,school_bus,< 5,75,69,72,72.0,1.0
3988,male,some college,free/reduced,completed,married,sometimes,yes,3.0,private,5 - 10,71,76,68,72.0,1.8977295694940375
3989,female,some college,standard,none,divorced,never,yes,2.0,private,< 5,74,93,87,85.0,1.0
3990,female,master's degree,free/reduced,completed,divorced,sometimes,no,5.0,school_bus,> 10,57,69,77,68.0,3.0
3991,male,high school,standard,none,married,sometimes,yes,3.0,school_bus,5 - 10,71,76,67,71.0,2.0
3992,male,some college,standard,none,married,sometimes,no,5.0,school_bus,< 5,53,54,49,52.0,1.0
3993,female,high school,standard,none,married,sometimes,yes,1.0,private,5 - 10,79,91,85,85.0,2.0
3994,female,high school,standard,none,married,sometimes,no,2.0,private,< 5,76,76,78,77.0,1.0
3995,female,bachelor's degree,free/reduced,none,single,sometimes,no,2.0,school_bus,5 - 10,49,64,54,56.0,2.0
3996,female,associate's degree,standard,none,single,regularly,yes,0.0,private,5 - 10,90,98,96,95.0,2.0
3997,male,high school,free/reduced,completed,married,sometimes,yes,0.0,school_bus,< 5,74,77,81,77.0,1.0
3998,female,some college,free/reduced,none,married,regularly,yes,2.0,private,5 - 10,31,34,41,35.0,2.0
3999,male,associate's degree,standard,none,married,sometimes,no,4.0,school_bus,< 5,69,67,63,66.0,1.0
4000,male,some college,standard,none,single,regularly,yes,2.0,school_bus,< 5,87,73,69,76.0,1.0
4001,male,high school,standard,completed,married,sometimes,yes,1.0,private,5 - 10,82,76,81,80.0,2.0
4002,male,some college,free/reduced,none,divorced,sometimes,yes,3.0,school_bus,< 5,74,67,68,70.0,1.0
4003,female,master's degree,free/reduced,none,married,sometimes,yes,3.0,school_bus,< 5,80,85,83,83.0,1.0
4004,female,high school,free/reduced,none,married,sometimes,no,2.0,school_bus,< 5,48,65,58,57.0,1.0
4005,female,master's degree,standard,none,married,sometimes,no,2.0,private,5 - 10,88,99,97,95.0,2.0
4006,female,some college,standard,none,married,regularly,yes,1.0,school_bus,5 - 10,76,72,75,74.0,2.0
4007,female,some high school,standard,completed,married,sometimes,no,3.0,school_bus,5 - 10,57,69,70,65.0,2.0
4009,female,bachelor's degree,standard,none,single,sometimes,yes,3.0,private,> 10,62,69,65,65.0,3.0
4010,male,associate's degree,free/reduced,none,married,regularly,yes,3.0,private,5 - 10,62,56,55,58.0,2.0
4011,female,some high school,free/reduced,none,single,sometimes,no,1.0,school_bus,5 - 10,60,81,72,71.0,2.0
4012,male,bachelor's degree,standard,completed,divorced,regularly,yes,4.0,school_bus,> 10,100,96,96,97.0,3.0
4013,male,some college,standard,none,divorced,regularly,yes,2.0,private,5 - 10,53,47,47,49.0,2.0
4014,female,bachelor's degree,free/reduced,none,single,sometimes,yes,4.0,private,< 5,70,78,74,74.0,1.0
4015,male,some high school,free/reduced,none,married,regularly,no,2.0,private,5 - 10,48,50,44,47.0,2.0
4016,female,master's degree,standard,completed,married,sometimes,yes,1.0,school_bus,> 10,47,51,56,51.0,3.0
4017,male,some college,standard,completed,divorced,sometimes,no,6.0,school_bus,5 - 10,85,84,79,83.0,2.0
4018,female,some high school,standard,none,married,never,yes,3.0,private,< 5,85,89,91,88.0,1.0
4019,female,high school,free/reduced,none,married,regularly,yes,1.0,school_bus,5 - 10,76,88,84,83.0,2.0
4020,male,associate's degree,free/reduced,none,married,regularly,no,1.0,private,5 - 10,62,54,52,56.0,2.0
4021,female,some college,free/reduced,none,married,regularly,yes,2.0,school_bus,< 5,42,52,51,48.0,1.0
4022,male,some high school,standard,none,married,regularly,yes,0.0,school_bus,5 - 10,73,60,56,63.0,2.0
4023,male,some high school,standard,completed,married,never,yes,1.0,private,< 5,58,54,52,55.0,1.0
4024,male,some college,standard,none,married,sometimes,yes,3.0,private,< 5,64,64,60,63.0,1.0
4025,male,some college,standard,completed,single,regularly,yes,3.0,school_bus,< 5,99,98,97,98.0,1.0
4026,female,associate's degree,standard,none,married,sometimes,yes,5.0,school_bus,5 - 10,60,69,70,66.0,2.0
4027,male,associate's degree,standard,none,single,sometimes,yes,1.0,school_bus,< 5,72,59,59,63.0,1.0
4028,female,some college,free/reduced,none,single,sometimes,yes,2.0,private,> 10,39,55,41,45.0,3.0
4029,female,bachelor's degree,free/reduced,none,single,sometimes,yes,0.0,school_bus,5 - 10,47,59,52,53.0,2.0
4030,female,high school,standard,completed,married,sometimes,no,2.0,school_bus,< 5,43,53,56,51.0,1.0
4031,male,master's degree,standard,none,married,sometimes,yes,2.0,school_bus,> 10,74,63,60,66.0,3.0
4033,female,associate's degree,free/reduced,none,married,regularly,no,1.0,school_bus,5 - 10,50,65,65,60.0,2.0
4034,female,associate's degree,standard,none,married,never,no,2.0,private,> 10,72,73,71,72.0,3.0
4035,female,some college,standard,none,married,never,yes,4.0,private,5 - 10,75,87,81,81.0,2.0
4036,male,associate's degree,standard,none,divorced,sometimes,yes,1.0,school_bus,> 10,90,78,83,84.0,3.0
4037,female,some college,standard,completed,married,sometimes,yes,2.0,school_bus,5 - 10,74,91,90,85.0,2.0
4038,female,high school,free/reduced,none,divorced,sometimes,yes,3.0,school_bus,< 5,78,86,85,83.0,1.0
4039,male,some high school,standard,none,married,sometimes,no,4.0,private,< 5,66,64,60,63.0,1.0
4041,female,high school,free/reduced,none,married,sometimes,yes,1.0,school_bus,> 10,44,57,55,52.0,3.0
4042,female,some high school,free/reduced,completed,married,sometimes,no,2.0,school_bus,< 5,69,75,77,74.0,1.0
4043,female,master's degree,standard,completed,married,never,yes,3.0,private,5 - 10,89,95,98,94.0,2.0
4044,female,some college,standard,completed,single,sometimes,yes,1.0,school_bus,< 5,73,91,94,86.0,1.0
4045,female,master's degree,standard,none,widowed,sometimes,yes,2.0,private,5 - 10,62,79,77,73.0,2.0
4046,male,bachelor's degree,standard,completed,single,sometimes,yes,3.0,private,5 - 10,82,86,85,84.0,2.0
4047,female,some college,standard,none,divorced,regularly,yes,2.0,private,< 5,30,43,49,41.0,1.0
4048,male,some college,standard,completed,married,regularly,yes,2.0,school_bus,> 10,92,85,87,88.0,3.0
4049,male,master's degree,free/reduced,completed,single,never,yes,2.0,private,5 - 10,73,71,76,73.0,2.0
4050,male,master's degree,standard,none,married,sometimes,yes,4.0,school_bus,5 - 10,83,85,85,84.0,2.0
4051,male,some high school,standard,completed,divorced,sometimes,yes,3.0,private,5 - 10,79,77,73,76.0,2.0
4052,male,some college,free/reduced,completed,single,sometimes,yes,1.0,school_bus,5 - 10,16,30,27,24.0,2.0
4053,female,master's degree,standard,none,divorced,never,yes,3.0,private,> 10,83,95,85,88.0,3.0
4054,female,some college,standard,completed,single,regularly,no,2.0,school_bus,< 5,58,69,77,68.0,1.0
4055,female,high school,free/reduced,none,married,sometimes,no,3.0,private,> 10,59,76,70,68.0,3.0
4056,male,associate's degree,free/reduced,completed,single,regularly,yes,2.0,school_bus,5 - 10,73,80,71,75.0,2.0
4058,female,some college,standard,none,single,regularly,no,3.0,private,< 5,86,88,89,88.0,1.0
4059,male,bachelor's degree,free/reduced,none,married,sometimes,no,2.0,private,5 - 10,70,74,70,71.0,2.0
4060,female,some high school,standard,none,married,sometimes,yes,0.0,private,5 - 10,74,81,74,76.0,2.0
4061,female,high school,standard,none,divorced,regularly,yes,1.0,school_bus,< 5,88,86,80,85.0,1.0
4062,male,some high school,standard,none,married,sometimes,yes,2.0,school_bus,< 5,56,55,50,54.0,1.0
4063,male,associate's degree,standard,none,single,sometimes,yes,2.0,school_bus,5 - 10,55,49,49,51.0,2.0
4064,male,bachelor's degree,free/reduced,completed,married,sometimes,yes,1.0,private,< 5,79,88,91,86.0,1.0
4065,male,some college,standard,none,married,sometimes,no,2.0,school_bus,5 - 10,57,67,53,59.0,2.0
4066,female,high school,free/reduced,none,married,regularly,yes,1.0,school_bus,5 - 10,75,85,85,82.0,2.0
4067,male,high school,free/reduced,none,married,sometimes,no,5.0,school_bus,> 10,67,79,75,74.0,3.0
4068,female,associate's degree,standard,none,married,sometimes,no,1.0,private,< 5,52,64,61,59.0,1.0
4069,male,some college,free/reduced,completed,single,sometimes,yes,3.0,school_bus,> 10,66,62,63,64.0,3.0
4070,male,some high school,free/reduced,completed,single,never,no,3.0,private,< 5,72,77,77,75.0,1.0
4071,female,high school,free/reduced,completed,married,sometimes,no,2.0,school_bus,< 5,71,77,74,74.0,1.0
4072,female,master's degree,standard,none,divorced,sometimes,no,1.0,school_bus,5 - 10,88,94,92,91.0,2.0
4073,male,bachelor's degree,free/reduced,none,widowed,sometimes,no,3.0,school_bus,5 - 10,73,63,56,64.0,2.0
4074,male,some college,standard,completed,single,sometimes,yes,0.0,school_bus,5 - 10,94,80,79,84.0,2.0
4075,male,some high school,standard,none,divorced,regularly,yes,0.0,private,< 5,62,61,56,60.0,1.0
4076,male,some college,free/reduced,none,single,regularly,yes,2.0,private,5 - 10,65,51,55,57.0,2.0
4077,male,associate's degree,free/reduced,none,single,regularly,yes,4.0,school_bus,5 - 10,54,58,55,56.0,2.0
4078,female,master's degree,standard,none,single,sometimes,yes,1.0,school_bus,< 5,60,61,69,63.0,1.0
4081,female,associate's degree,standard,completed,married,sometimes,yes,1.0,school_bus,5 - 10,56,69,73,66.0,2.0
4082,female,bachelor's degree,free/reduced,completed,married,regularly,no,1.0,private,5 - 10,65,61,66,64.0,2.0
4083,male,some college,free/reduced,none,single,regularly,yes,0.0,school_bus,< 5,30,25,29,28.0,1.0
4084,female,associate's degree,standard,none,divorced,regularly,no,3.0,private,5 - 10,56,63,61,60.0,2.0
4085,male,high school,standard,none,married,sometimes,no,2.0,school_bus,5 - 10,88,74,66,76.0,2.0
4086,male,bachelor's degree,free/reduced,none,married,sometimes,yes,1.0,school_bus,5 - 10,50,51,45,49.0,2.0
4087,male,high school,free/reduced,completed,single,sometimes,yes,0.0,school_bus,> 10,54,59,54,56.0,3.0
4088,male,associate's degree,standard,none,married,sometimes,no,1.0,school_bus,5 - 10,70,68,70,69.0,2.0
4089,male,some high school,standard,completed,married,sometimes,no,1.0,school_bus,5 - 10,51,51,54,52.0,2.0
4090,female,some college,standard,none,married,sometimes,no,2.0,private,5 - 10,52,59,59,57.0,2.0
4091,male,some college,standard,none,married,never,yes,2.0,school_bus,> 10,71,72,67,70.0,3.0
4092,male,master's degree,standard,completed,single,never,yes,2.0,school_bus,5 - 10,86,70,69,75.0,2.0
4093,male,associate's degree,standard,none,married,regularly,no,3.0,private,> 10,59,52,57,56.0,3.0
4094,male,some college,free/reduced,none,married,sometimes,no,2.0,school_bus,5 - 10,76,78,73,76.0,2.0
4095,female,some high school,standard,none,divorced,sometimes,yes,1.0,private,< 5,68,85,84,79.0,1.0
4096,female,associate's degree,standard,completed,single,regularly,yes,1.0,school_bus,> 10,84,85,87,85.0,3.0
4097,male,high school,standard,none,married,sometimes,no,5.0,school_bus,5 - 10,81,70,68,73.0,2.0
4098,female,associate's degree,standard,completed,divorced,never,yes,3.0,school_bus,5 - 10,68,81,79,76.0,2.0
4099,female,bachelor's degree,standard,none,married,regularly,yes,3.0,school_bus,< 5,37,54,56,49.0,1.0
4100,male,associate's degree,standard,none,divorced,regularly,yes,1.0,school_bus,5 - 10,77,54,54,62.0,2.0
4101,female,some high school,standard,none,divorced,sometimes,yes,0.0,private,5 - 10,78,82,78,79.0,2.0
4103,male,associate's degree,standard,none,divorced,sometimes,no,5.0,school_bus,5 - 10,50,33,40,41.0,2.0
4104,male,associate's degree,standard,completed,married,regularly,yes,0.0,school_bus,< 5,79,78,78,78.0,1.0
4105,female,some college,free/reduced,none,single,sometimes,yes,0.0,private,5 - 10,63,78,76,72.0,2.0
4106,female,master's degree,free/reduced,none,married,regularly,yes,3.0,school_bus,< 5,54,71,70,65.0,1.0
4107,female,high school,standard,none,married,sometimes,no,2.0,school_bus,5 - 10,62,81,74,72.0,2.0
4108,male,some high school,standard,none,single,regularly,yes,2.0,school_bus,< 5,80,79,71,77.0,1.0
4109,female,some college,standard,none,married,sometimes,yes,5.0,private,< 5,64,74,73,70.0,1.0
4110,male,master's degree,standard,none,married,sometimes,yes,3.0,private,< 5,72,65,67,68.0,1.0
4111,female,associate's degree,standard,completed,married,sometimes,yes,3.0,private,< 5,67,82,83,77.0,1.0
4113,male,some high school,free/reduced,none,married,never,yes,1.0,private,5 - 10,72,67,64,68.0,2.0
4115,female,some college,standard,none,married,regularly,yes,2.0,school_bus,5 - 10,77,72,73,74.0,2.0
4117,male,some college,free/reduced,none,married,sometimes,yes,0.0,school_bus,> 10,67,66,67,67.0,3.0
4118,female,bachelor's degree,free/reduced,none,single,regularly,no,2.0,private,5 - 10,46,63,58,56.0,2.0
4119,female,some college,standard,completed,divorced,never,yes,2.0,school_bus,5 - 10,90,100,100,97.0,2.0
4120,female,some high school,free/reduced,none,widowed,never,no,1.0,school_bus,< 5,56,67,71,65.0,1.0
4121,male,some college,standard,completed,married,sometimes,no,1.0,private,5 - 10,66,56,60,61.0,2.0
4122,male,associate's degree,standard,none,married,sometimes,yes,3.0,private,5 - 10,64,68,68,67.0,2.0
4123,male,some college,free/reduced,none,married,regularly,yes,0.0,school_bus,< 5,79,78,77,78.0,1.0
4124,male,associate's degree,standard,none,married,regularly,yes,1.0,school_bus,5 - 10,46,43,42,44.0,2.0
4125,male,high school,standard,none,widowed,regularly,yes,0.0,private,5 - 10,59,50,42,50.0,2.0
4126,female,some high school,free/reduced,none,married,sometimes,no,1.0,school_bus,5 - 10,54,68,59,60.0,2.0
4127,female,some college,standard,none,married,never,yes,2.0,private,< 5,47,57,57,54.0,1.0
4128,male,associate's degree,standard,none,single,never,yes,1.0,school_bus,< 5,71,63,61,65.0,1.0
4129,male,some high school,standard,none,divorced,regularly,yes,1.0,school_bus,5 - 10,66,61,54,60.0,2.0
4130,male,high school,standard,none,married,sometimes,yes,3.0,private,> 10,73,61,64,66.0,3.0
4131,female,bachelor's degree,standard,completed,married,regularly,yes,1.0,private,< 5,79,98,100,92.0,1.0
4132,female,associate's degree,standard,none,married,sometimes,no,1.0,private,5 - 10,79,79,83,80.0,2.0
4133,male,high school,standard,none,single,sometimes,yes,1.0,school_bus,< 5,52,50,49,50.0,1.0
4134,male,some college,free/reduced,completed,married,regularly,yes,4.0,private,5 - 10,50,63,65,59.0,2.0
4135,male,high school,standard,none,single,sometimes,yes,3.0,school_bus,5 - 10,74,70,66,70.0,2.0
4136,male,high school,standard,completed,married,sometimes,yes,2.0,private,5 - 10,67,53,65,62.0,2.0
4137,female,associate's degree,free/reduced,completed,single,sometimes,yes,0.0,private,< 5,59,82,73,71.0,1.0
4138,male,master's degree,standard,none,married,regularly,no,1.0,private,5 - 10,91,81,90,87.0,2.0
4139,female,high school,standard,none,married,never,yes,1.0,private,5 - 10,54,69,66,63.0,2.0
4141,female,some college,free/reduced,completed,single,sometimes,yes,1.0,school_bus,5 - 10,69,59,63,64.0,2.0
4142,male,high school,standard,completed,married,sometimes,yes,1.0,private,> 10,90,85,89,88.0,3.0
4143,male,high school,free/reduced,completed,widowed,sometimes,yes,2.0,private,< 5,92,92,90,91.0,1.0
4144,female,bachelor's degree,standard,none,divorced,sometimes,yes,2.0,school_bus,> 10,74,79,86,80.0,3.0
4145,male,master's degree,free/reduced,none,married,never,yes,1.0,school_bus,5 - 10,84,81,83,83.0,2.0
4146,male,master's degree,standard,none,single,sometimes,yes,1.0,school_bus,< 5,97,100,92,96.0,1.0
4147,female,master's degree,standard,completed,married,regularly,yes,3.0,private,< 5,55,80,73,69.0,1.0
4148,female,associate's degree,standard,completed,single,regularly,no,2.0,private,< 5,71,81,83,78.0,1.0
4149,male,high school,standard,completed,married,sometimes,yes,0.0,private,< 5,57,62,62,60.0,1.0
4150,male,some high school,standard,none,married,sometimes,yes,0.0,school_bus,5 - 10,57,54,53,55.0,2.0
4151,male,some high school,standard,completed,married,sometimes,no,1.0,school_bus,> 10,67,81,75,74.0,3.0
4152,female,associate's degree,standard,completed,married,regularly,yes,1.0,school_bus,5 - 10,77,81,83,80.0,2.0
4153,female,some high school,standard,none,married,regularly,yes,0.0,school_bus,5 - 10,56,56,53,55.0,2.0
4154,female,associate's degree,free/reduced,none,married,regularly,yes,2.0,school_bus,> 10,61,77,74,71.0,3.0
4155,female,some high school,standard,completed,single,sometimes,no,3.0,private,5 - 10,67,72,77,72.0,2.0
4156,female,some high school,free/reduced,completed,single,sometimes,no,4.0,school_bus,5 - 10,67,72,76,72.0,2.0
4157,male,some college,free/reduced,completed,married,regularly,no,1.0,school_bus,< 5,56,64,63,61.0,1.0
4158,male,associate's degree,standard,none,single,regularly,no,2.0,school_bus,5 - 10,75,68,59,67.0,2.0
4159,male,high school,standard,completed,married,sometimes,yes,2.0,private,5 - 10,57,60,65,61.0,2.0
4160,female,associate's degree,standard,none,divorced,never,yes,2.0,school_bus,< 5,55,60,58,58.0,1.0
4161,female,bachelor's degree,standard,completed,married,regularly,no,3.0,private,> 10,79,94,100,91.0,3.0
4162,male,high school,free/reduced,none,divorced,sometimes,yes,2.0,private,> 10,67,73,73,71.0,3.0
4163,male,some high school,standard,completed,married,regularly,yes,3.0,school_bus,< 5,82,75,75,77.0,1.0
4164,male,master's degree,standard,none,divorced,sometimes,yes,2.0,school_bus,5 - 10,83,92,83,86.0,2.0
4166,female,some college,standard,completed,married,sometimes,yes,1.0,private,> 10,91,99,100,97.0,3.0
4167,female,bachelor's degree,free/reduced,completed,married,sometimes,no,2.0,school_bus,5 - 10,59,76,74,70.0,2.0
4169,male,associate's degree,standard,none,single,regularly,yes,3.0,school_bus,> 10,97,83,84,88.0,3.0
4170,male,some college,standard,none,divorced,never,no,5.0,private,5 - 10,68,62,60,63.0,1.8977295694940375
4171,male,high school,standard,none,married,regularly,yes,1.0,school_bus,5 - 10,86,71,69,75.0,2.0
4172,female,high school,standard,none,divorced,sometimes,no,7.0,school_bus,5 - 10,57,64,60,60.0,2.0
4173,female,associate's degree,standard,none,married,sometimes,yes,3.0,school_bus,< 5,64,68,63,65.0,1.0
4174,male,some high school,standard,none,single,sometimes,no,2.0,private,5 - 10,73,65,60,66.0,2.0
4176,male,some high school,standard,none,married,regularly,yes,3.0,school_bus,< 5,83,77,78,79.0,1.0
4177,female,bachelor's degree,standard,none,widowed,sometimes,no,2.0,school_bus,5 - 10,77,74,78,76.0,2.0
4178,male,some high school,free/reduced,completed,married,sometimes,yes,4.0,school_bus,5 - 10,50,50,50,50.0,2.0
4179,male,some college,free/reduced,none,married,regularly,yes,0.0,school_bus,< 5,72,61,62,65.0,1.0
4180,female,some college,standard,none,single,regularly,no,3.0,school_bus,5 - 10,64,72,63,66.0,2.0
4181,female,associate's degree,standard,completed,married,regularly,yes,4.0,private,5 - 10,100,100,100,100.0,2.0
4182,male,bachelor's degree,free/reduced,none,married,regularly,yes,1.0,school_bus,5 - 10,77,75,73,75.0,2.0
4183,male,bachelor's degree,standard,none,single,sometimes,yes,2.0,school_bus,5 - 10,87,71,69,76.0,2.0
4184,female,associate's degree,free/reduced,none,married,sometimes,no,1.0,private,< 5,53,55,52,53.0,1.0
4185,male,associate's degree,standard,none,married,never,no,2.0,private,5 - 10,89,96,87,91.0,2.0
4186,male,associate's degree,standard,none,married,never,yes,1.0,school_bus,5 - 10,68,69,64,67.0,2.0
4187,female,high school,standard,none,married,sometimes,no,2.0,school_bus,5 - 10,76,73,75,75.0,2.0
4188,female,high school,standard,none,married,regularly,yes,1.0,private,< 5,57,65,61,61.0,1.0
4189,female,bachelor's degree,free/reduced,none,single,sometimes,yes,1.0,school_bus,< 5,68,75,75,73.0,1.0
4190,male,bachelor's degree,standard,none,married,regularly,yes,0.0,school_bus,5 - 10,71,74,72,72.0,2.0
4191,female,high school,standard,none,single,sometimes,no,3.0,school_bus,5 - 10,58,69,61,63.0,1.8977295694940375
4192,male,some high school,standard,none,divorced,never,yes,0.0,school_bus,< 5,56,55,47,53.0,1.0
4193,male,high school,free/reduced,none,single,never,yes,4.0,school_bus,< 5,36,32,27,32.0,1.0
4194,male,some high school,free/reduced,none,widowed,sometimes,yes,2.0,school_bus,5 - 10,71,69,63,68.0,2.0
4195,female,bachelor's degree,standard,completed,married,regularly,yes,4.0,school_bus,5 - 10,73,78,90,80.0,2.0
4196,male,some college,free/reduced,none,single,never,no,4.0,school_bus,< 5,47,45,45,46.0,1.0
4197,male,some high school,standard,completed,divorced,sometimes,no,1.0,private,5 - 10,100,97,94,97.0,2.0
4198,male,high school,standard,completed,married,sometimes,no,1.0,school_bus,5 - 10,81,69,67,72.0,2.0
4199,female,some high school,standard,none,single,sometimes,yes,3.0,private,5 - 10,60,65,64,63.0,2.0
4200,female,associate's degree,free/reduced,none,married,regularly,yes,1.0,school_bus,< 5,55,63,61,60.0,1.0
4201,male,associate's degree,standard,none,married,sometimes,yes,3.0,school_bus,< 5,69,62,61,64.0,1.0
4203,female,high school,free/reduced,none,married,never,yes,0.0,private,5 - 10,44,64,57,55.0,2.0
4204,male,associate's degree,standard,none,divorced,regularly,no,1.0,school_bus,5 - 10,88,87,83,86.0,2.0
4205,female,some college,standard,none,married,regularly,yes,3.0,school_bus,> 10,74,82,83,80.0,3.0
4206,male,some high school,standard,completed,single,regularly,no,2.0,school_bus,> 10,39,33,36,36.0,3.0
4207,male,associate's degree,free/reduced,completed,married,regularly,yes,2.0,private,> 10,56,57,57,57.0,3.0
4208,female,high school,standard,none,divorced,sometimes,yes,2.0,school_bus,< 5,71,69,65,68.0,1.0
4209,female,associate's degree,free/reduced,none,married,regularly,yes,1.0,private,5 - 10,63,60,62,62.0,2.0
4210,female,high school,standard,none,married,sometimes,yes,6.0,school_bus,< 5,65,69,71,68.0,1.0
4211,male,bachelor's degree,standard,none,married,regularly,yes,4.0,private,> 10,99,89,94,94.0,3.0
4213,male,high school,standard,none,married,sometimes,yes,3.0,private,> 10,85,83,75,81.0,3.0
4214,female,some college,free/reduced,completed,married,sometimes,yes,0.0,school_bus,5 - 10,61,61,68,63.0,2.0
4215,female,high school,standard,none,divorced,never,no,2.0,private,5 - 10,81,81,78,80.0,2.0
4216,male,associate's degree,standard,none,divorced,sometimes,no,2.0,school_bus,5 - 10,84,67,72,74.0,2.0
4217,female,high school,standard,completed,single,regularly,yes,2.0,private,5 - 10,65,85,80,77.0,2.0
4218,female,associate's degree,free/reduced,none,married,sometimes,yes,1.0,private,5 - 10,62,67,70,66.0,2.0
4219,male,some college,standard,completed,married,never,no,2.0,school_bus,> 10,97,87,86,90.0,3.0
4220,female,some high school,standard,completed,married,sometimes,yes,3.0,school_bus,> 10,73,70,80,74.0,3.0
4221,female,some high school,free/reduced,none,single,sometimes,yes,4.0,school_bus,5 - 10,32,45,43,40.0,1.8977295694940375
4222,female,bachelor's degree,standard,none,single,regularly,yes,0.0,school_bus,5 - 10,73,70,74,72.0,2.0
4223,male,bachelor's degree,standard,none,married,regularly,yes,2.0,school_bus,5 - 10,72,51,54,59.0,2.0
4224,male,associate's degree,free/reduced,completed,single,regularly,yes,1.0,private,5 - 10,39,36,36,37.0,2.0
